timestamp,source_ip,dest_ip,protocol,action,threat_label,log_type,bytes_transferred,user_agent,request_path,is_anomaly
2024-05-01T00:00:00,192.168.1.125,192.168.1.124,TCP,blocked,benign,firewall,10874.012317813,Nmap Scripting Engine,/,0
2024-07-18T00:00:00,192.168.1.201,192.168.1.201,ICMP,blocked,benign,application,36531.95869124872,Nmap Scripting Engine,/,0
2024-04-07T00:00:00,192.168.1.248,192.168.1.15,HTTP,allowed,benign,application,20636.04648302971,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/login,0
2024-10-26T00:00:00,192.168.1.236,192.168.1.219,HTTP,allowed,benign,application,5364.346053426281,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/login,0
2024-10-31T00:00:00,192.168.1.221,192.168.1.61,ICMP,allowed,benign,application,40687.79684212308,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/,0
2024-12-02T00:00:00,192.168.1.134,192.168.1.81,FTP,allowed,benign,application,15735.625378465318,curl/7.64.1,/backup,0
2024-03-08T00:00:00,192.168.1.77,192.168.1.118,UDP,allowed,benign,firewall,30166.96611605268,SQLMap/1.6-dev,/,0
2024-02-07T00:00:00,192.168.1.130,192.168.1.68,TCP,blocked,benign,firewall,16056.376212334531,curl/7.64.1,/,0
2024-03-21T00:00:00,192.168.1.140,192.168.1.181,UDP,allowed,benign,application,36459.60309706076,curl/7.64.1,/,0
2024-03-09T00:00:00,192.168.1.228,192.168.1.28,HTTPS,allowed,benign,ids,18572.436524466702,SQLMap/1.6-dev,/secure,0
2024-06-24T00:00:00,192.168.1.163,192.168.1.219,UDP,blocked,benign,ids,3425.4233891632484,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/,0
2024-05-21T00:00:00,192.168.1.86,192.168.1.198,TCP,blocked,benign,firewall,48691.09003409065,Nmap Scripting Engine,/,0
2024-10-14T00:00:00,192.168.1.20,192.168.1.242,HTTPS,allowed,benign,application,2459.5302264166558,curl/7.64.1,/admin/config,0
2024-10-09T00:00:00,192.168.1.33,192.168.1.11,UDP,allowed,benign,ids,13857.345434682184,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/,0
2024-06-30T00:00:00,88.29.76.112,192.168.1.250,HTTP,allowed,benign,firewall,11700.575126950453,Nmap Scripting Engine,/login,0
2024-04-01T00:00:00,103.93.57.36,192.168.1.201,FTP,allowed,benign,ids,25154.14224609388,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/backup,0
2024-04-23T00:00:00,192.168.1.236,192.168.1.118,UDP,allowed,benign,firewall,1636.226931615657,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/,0
2024-06-17T00:00:00,192.168.1.18,192.168.1.248,HTTPS,blocked,benign,application,33470.541057151175,Nmap Scripting Engine,/admin/config,0
2024-06-18T00:00:00,217.89.155.68,192.168.1.225,SSH,allowed,benign,application,7202.481476498945,SQLMap/1.6-dev,/home/user,0
2024-06-25T00:00:00,144.138.68.192,192.168.1.112,HTTP,allowed,benign,ids,2995.55067902453,Nmap Scripting Engine,/login,0
2024-09-23T00:00:00,137.197.33.33,192.168.1.176,HTTPS,allowed,benign,ids,21743.91368394888,SQLMap/1.6-dev,/auth,0
2024-12-05T00:00:00,221.28.64.50,192.168.1.231,UDP,blocked,benign,application,19465.927504496056,SQLMap/1.6-dev,/,0
2024-04-08T00:00:00,192.168.1.241,192.168.1.98,HTTP,allowed,benign,application,37361.55734120434,curl/7.64.1,/api/login,0
2024-10-07T00:00:00,235.165.118.37,192.168.1.74,TCP,blocked,benign,ids,33586.54185823103,Nmap Scripting Engine,/,0
2024-12-03T00:00:00,192.168.1.132,192.168.1.170,HTTP,blocked,benign,firewall,49333.69604557078,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/wp-login.php,1
2024-06-07T00:00:00,192.168.1.51,192.168.1.38,TCP,allowed,benign,ids,40152.74061047703,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/,0
2024-07-31T00:00:00,177.52.183.80,192.168.1.50,HTTPS,blocked,suspicious,ids,45164.0010999443,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/login?backup.sql,0
2024-04-22T00:00:00,192.168.1.246,192.168.1.179,HTTP,allowed,benign,application,16423.65162824933,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/api/login,0
2024-03-09T00:00:00,122.63.201.122,192.168.1.136,SSH,blocked,benign,ids,33213.94788816203,Nmap Scripting Engine,/home/user,0
2024-03-22T00:00:00,245.200.237.136,192.168.1.116,UDP,allowed,benign,application,31855.611022715155,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/,0
2024-08-13T00:00:00,192.168.1.74,192.168.1.61,UDP,blocked,benign,application,5385.386549170991,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/,0
2024-04-28T00:00:00,192.168.1.40,192.168.1.181,TCP,blocked,benign,ids,21772.98312996761,SQLMap/1.6-dev,/,0
2024-07-31T00:00:00,192.168.1.214,192.168.1.108,UDP,allowed,benign,application,25055.71698900469,Nmap Scripting Engine,/,0
2024-06-29T00:00:00,192.168.1.100,192.168.1.219,HTTPS,blocked,benign,application,49077.32634878578,SQLMap/1.6-dev,/admin/config,0
2024-04-22T00:00:00,192.168.1.70,192.168.1.112,ICMP,blocked,benign,ids,26566.496370180284,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/,0
