index,Login Timestamp,User ID,Round-Trip Time [ms],IP Address,Country,Region,City,ASN,User Agent String,Browser Name and Version,OS Name and Version,Device Type,Login Successful,Is Attack IP,Is Account Takeover,is_anomaly
-4.883320855261733,2020-02-03 12:43:30.772,-4.324475583306592e+18,,10.0.65.171,NO,-,-,29687.277971273637,Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Gecko/20150101 Firefox/20.0.0.1618 (Chrome variation/248113,Firefox 20.0.0.1618,iOS 13.4,mobile,False,False,False,0
38.4639483784198,2020-02-03 12:43:43.549,-4.324475583306592e+18,,194.87.207.6,AU,-,-,60093.3761108239,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Chrome/46.0.2490.76 Mobile Safari/537.36 Browser",Chrome Mobile 46.0.2490,Android 4.1,mobile,False,False,False,0
-12.375294403946835,2020-02-03 12:43:55.873,-3.2841374792624333e+18,,81.167.144.58,NO,Vestland,Urangsvag,29707.94040457442,"Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277457",Android 2.3.3.2672,iOS 7.1,mobile,True,False,False,0
-3.0281006517129203,2020-02-03 12:43:56.180,-4.324475583306592e+18,,170.39.78.152,US,-,-,393400.9547062896,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) Build/OPS27.82-19-4; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36",Chrome Mobile WebView 85.0.4183,Android 4.1,mobile,False,False,False,0
-2.4622619508969024,2020-02-03 12:43:59.396,-4.618854071942621e+18,,10.0.0.47,US,Virginia,Ashburn,398973.3943992813,"Mozilla/5.0  (Linux; U; Android 2.2) Build/NMA26.42-169; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.120 Mobile Safari/537.36",Chrome Mobile WebView 85.0.4183,Android 2.2,mobile,False,True,False,1
15.407503659561469,2020-02-03 12:44:05.160,-4.324475583306592e+18,,209.236.123.126,US,-,-,393422.4080537205,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) Build/NCQS26.69-64-5; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36",Chrome Mobile WebView 85.0.4183,Android 4.1,mobile,False,True,False,0
40.25070995082563,2020-02-03 12:44:07.893,7.24653344389824e+18,,80.202.228.214,NO,-,-,15651.878654189648,"Mozilla/5.066704189 Mozilla/5.0  (X11; CrOS x86_64 13020.67.3) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.19.81 Safari/537.36",Chrome 69.0.3497.17.19,Chrome OS 13020.67.3,desktop,True,False,False,0
29.988604612346364,2020-02-03 12:44:12.799,-3.243978724802435e+18,,170.39.78.177,US,-,-,393434.6054737781,"Mozilla/5.0 (Linux; Android 10.0.99; H30-U10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.1931.96 Mobile Safari/537.36 variation/14113",Chrome Mobile 81.0.4044.1931,Android 10.0.99,mobile,False,False,False,1
6.261632866204112,2020-02-03 12:44:17.474,8.076000552587369e+18,,10.0.61.212,NO,-,-,29698.6684636522,"Mozilla/5.0 (Linux; U; Android 7.1.2; en-gb; Redmi 4A Build/N2G47H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.141 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.6.5-go",MiuiBrowser 12.6.5,Android 7.1.2,mobile,False,False,False,0
-1.7223687379317116,2020-02-03 12:44:19.071,-3.065936140549856e+18,,92.221.109.162,NO,Rogaland,Sandnes,29688.968575653296,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.28.92 Safari/537.36",Chrome 69.0.3497.17.28,Mac OS X 10.14.6,desktop,True,False,False,0
